[DNS]             jet.com 2a02:26f0:1b00:199::30e1,23.72.29.189,2a02:26f0:1b00:1a8::30e1
[SonarSearch]     askjay.jet.com 104.209.192.206
[GoogleCT]        www.jet.com 23.53.52.191
[CertSpotter]     cyborg-wm-auth-service.jet.com 2a02:26f0:7100:18e::30e1,23.53.52.191,2a02:26f0:7100:193::30e1
[CertSpotter]     cyborg-hn-bot-api.jet.com 23.53.52.191,2a02:26f0:7100:193::30e1,2a02:26f0:7100:18e::30e1
[BufferOver]      wpr-portal.jet.com 2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1,23.53.52.191
[CertSpotter]     cyborg-inhome-bot-api.jet.com 2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1,23.53.52.191
[BufferOver]      cyborg-wm-auth-service-v2.jet.com 2a02:26f0:7100:193::30e1,2a02:26f0:7100:18e::30e1,23.53.52.191
[CertSpotter]     cyborg-grocery-auth-service.jet.com 23.53.52.191,2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1
[AnubisDB]        numbers.jet.com 2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1,23.53.52.191
[CertSpotter]     cyborg-inhome-auth-service.jet.com 2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1,23.53.52.191
[Brute Forcing]   thor.jet.com 2a02:26f0:7100:193::30e1,23.53.52.191,2a02:26f0:7100:18e::30e1
[Gists]           thor-mjolnir-api.jet.com 2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1,23.53.52.191
[CertSpotter]     orderhub.jet.com 2a02:26f0:7100:193::30e1,23.53.52.191,2a02:26f0:7100:18e::30e1
[CertSpotter]     cyborg-grocery-bot-api.jet.com 2a02:26f0:7100:193::30e1,23.53.52.191,2a02:26f0:7100:18e::30e1
[CertSpotter]     cyborg-api.jet.com 23.53.52.191,2a02:26f0:7100:193::30e1,2a02:26f0:7100:18e::30e1
[CertSpotter]     thor-api.jet.com 40.65.245.18
[CertSpotter]     go.jet.com 67.199.248.12,67.199.248.13
[AnubisDB]        next.jet.com 2a02:26f0:3100:684::30e1,23.209.150.66,2a02:26f0:3100:683::30e1
[AlienVault]      vendor-invoicing.jet.com 2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1,23.53.52.191
[SonarSearch]     catan.dev.jet.com 10.116.1.7
[BufferOver]      sip.jet.com 52.112.193.13,2603:1027:0:2::b
[Gists]           lyncdiscover.jet.com 2603:1037:0:f::12,2603:1037:0:1::e,2603:1037:0:3::e,2603:1037:0:b::e,2603:1037:0:6::e,52.112.193.16,2603:1037:0:d::12,2603:1037:0:17::d,2603:1037:0:4::e
[BufferOver]      goto.jet.com 35.244.228.149
[CertSpotter]     cyborg-wm-bot-api.jet.com 2a02:26f0:7100:193::30e1,2a02:26f0:7100:18e::30e1,23.53.52.191
[CertSpotter]     cyborg-hn-auth-service.jet.com 2a02:26f0:7100:193::30e1,23.53.52.191,2a02:26f0:7100:18e::30e1
[Gists]           horizon.jet.com 76.223.20.182,13.248.148.52
[Gists]           enterpriseregistration.jet.com 20.190.129.168
[CertSpotter]     cyborg-wm-bot-api-v2.jet.com 23.53.52.191,2a02:26f0:7100:18e::30e1,2a02:26f0:7100:193::30e1
[RapidDNS]        wpr.jet.com 23.53.52.191,2a02:26f0:7100:193::30e1,2a02:26f0:7100:18e::30e1
[Alterations]     cyborg-inhome-bot-api-staging.jet.com 2a02:26f0:3100:683::30e1,23.202.244.224,2a02:26f0:3100:684::30e1
[Alterations]     cyborg-inhome-auth-service-staging.jet.com 2a02:26f0:3100:683::30e1,2a02:26f0:3100:684::30e1,23.202.244.224
[Brute Forcing]   autodiscover.jet.com 40.101.80.8,2603:1026:c0a:854::8,2603:1026:100:1b::8,52.97.250.248,40.101.12.40,52.97.158.168,40.101.19.168,52.97.250.216,2603:1026:c0a:857::8,40.101.12.136,2603:1026:c0a:8b7::8,40.101.12.88
[Alterations]     orderhub-staging.jet.com 23.202.244.224,2a02:26f0:3100:683::30e1,2a02:26f0:3100:684::30e1
[Alterations]     thor-staging.jet.com 2a02:26f0:3100:684::30e1,23.202.244.224,2a02:26f0:3100:683::30e1
[Alterations]     wpr-staging.jet.com 23.202.244.224,2a02:26f0:3100:684::30e1,2a02:26f0:3100:683::30e1
[Gists]           autodiscover.x.jet.com 40.101.12.40,52.97.158.168,2603:1026:c0a:857::8,40.101.12.136,40.101.19.168,52.97.250.216,40.101.80.8,40.101.12.88,2603:1026:100:1b::8,2603:1026:c0a:8b7::8,2603:1026:c0a:854::8,52.97.250.248
[Gists]           enterpriseenrollment.jet.com 13.74.111.192
